"q" "I"
0.83419683 0.263505926816128
0.83679643 0.262956240677999
0.83939562 0.268870452795097
0.84199439 0.273864765927754
0.84459274 0.262832215823788
0.84719068 0.274872165579224
0.8497882 0.271126603466297
0.85238529 0.269441769389848
0.85498197 0.281387424173335
0.85757823 0.266982538096178
0.86017406 0.275793024211252
0.86276947 0.269186522324521
0.86536445 0.271085108304613
0.86795901 0.277623244897209
0.87055313 0.268356024109333
0.87314683 0.263650392163952
0.8757401 0.264075631202932
0.87833294 0.266702743245562
0.88092534 0.263090706497962
0.88351731 0.256828430200872
0.88610885 0.258246885299978
0.88869995 0.275670861073362
0.89129061 0.258489292280585
0.89388083 0.257866500189239
0.89647062 0.254399850051147
0.89905996 0.258559807185315
0.90164887 0.245606848715118
0.90423733 0.244220503424289
0.90682534 0.243238323311419
0.90941291 0.226859595690358
0.91200003 0.229398573698551
0.91458671 0.225578043916087
0.91717294 0.224234460521758
0.91975872 0.229011950878492
0.92234404 0.217623678606787
0.92492892 0.216463426287577
0.92751334 0.229401586991975
0.9300973 0.203643743674334
0.93268082 0.2217331390849
0.93526387 0.21172088629598
0.93784647 0.216323106617331
0.9404286 0.222767351289965
0.94301028 0.229782183225184
0.9455915 0.219979536662329
0.94817225 0.2277148144274
0.95075254 0.218054061356835
0.95333237 0.229455595958201
0.95591173 0.233620121014885
0.95849062 0.224731097341249
0.96106905 0.243912072689662
0.963647 0.214753871689274
0.96622449 0.223759070299855
0.9688015 0.218645876024056
0.97137804 0.235725319120569
0.97395411 0.219238151322119
0.9765297 0.229267082786109
0.97910482 0.219246231554806
0.98167946 0.202732423939326
0.98425363 0.182708778205725
0.98682731 0.166141556605524
0.98940051 0.161765671086984
0.99197323 0.162744728506604
0.99454547 0.155241833243441
0.99711723 0.149218217462776
0.9996885 0.121685868678813
1.0022593 0.109828507231264
1.0048296 0.109434253293589
1.0073994 0.126500290113305
1.0099687 0.0458826550999183
1.0125375 0.0518635454506918
1.0151059 0.0592770380253068
1.0176737 0.0632689320774734
1.0202411 0.101712061283023
1.0228079 0.0627979024942077
1.0253743 0.0842358422949751
1.0279402 0.0830201645697011
1.0305055 0.0981115172749302
1.0330704 0.0982735787209194
1.0356348 0.0982240186809098
1.0381986 0.0898233020857047
1.040762 0.130434148517969
1.0433249 0.0834023403828388
1.0458872 0.103890115833551
1.0484491 0.09428346385538
